"sourceRoute"	"finalDisposition"	"finalTarget"	"evidence"
"_meta/capabilities"	"merge_into"	"vm_catalog_status"	"The official Unity CLI and five-command VM Pipeline facade own this transport/session concern after cutover; VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 intentionally publishes no '_meta/capabilities' route."
"_meta/tools"	"merge_into"	"unity command|vm_catalog_list|vm_catalog_get"	"The official Unity CLI and five-command VM Pipeline facade own this transport/session concern after cutover; VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 intentionally publishes no '_meta/tools' route."
"addressables/build"	"custom_cli"	"vm_auto_addressables_build"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'addressables/build' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_addressables_build' without an MCP transport."
"addressables/info"	"custom_cli"	"vm_auto_addressables_info"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'addressables/info' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_addressables_info' without an MCP transport."
"addressables/transaction"	"custom_cli"	"vm_auto_addressables_transaction"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'addressables/transaction' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_addressables_transaction' without an MCP transport."
"agents/list"	"delete_redundant"	""	"Production consumer audit found no post-cutover caller; the official Unity CLI owns liveness, process, session, and logging concerns, and VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 intentionally publishes no 'agents/list' route."
"agents/log"	"delete_redundant"	""	"Production consumer audit found no post-cutover caller; the official Unity CLI owns liveness, process, session, and logging concerns, and VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 intentionally publishes no 'agents/log' route."
"animation/add-event"	"custom_cli"	"vm_auto_animation_add_event"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'animation/add-event' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_animation_add_event' without an MCP transport."
"animation/add-keyframe"	"custom_cli"	"vm_auto_animation_add_keyframe"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'animation/add-keyframe' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_animation_add_keyframe' without an MCP transport."
"animation/add-layer"	"custom_cli"	"vm_auto_animation_add_layer"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'animation/add-layer' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_animation_add_layer' without an MCP transport."
"animation/add-parameter"	"custom_cli"	"vm_auto_animation_add_parameter"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'animation/add-parameter' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_animation_add_parameter' without an MCP transport."
"animation/add-state"	"custom_cli"	"vm_auto_animation_add_state"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'animation/add-state' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_animation_add_state' without an MCP transport."
"animation/add-transition"	"custom_cli"	"vm_auto_animation_add_transition"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'animation/add-transition' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_animation_add_transition' without an MCP transport."
"animation/assign-controller"	"custom_cli"	"vm_auto_animation_assign_controller"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'animation/assign-controller' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_animation_assign_controller' without an MCP transport."
"animation/clip-info"	"custom_cli"	"vm_auto_animation_clip_info"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'animation/clip-info' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_animation_clip_info' without an MCP transport."
"animation/connect-states"	"custom_cli"	"vm_auto_animation_connect_states"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'animation/connect-states' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_animation_connect_states' without an MCP transport."
"animation/controller-info"	"custom_cli"	"vm_auto_animation_controller_info"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'animation/controller-info' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_animation_controller_info' without an MCP transport."
"animation/create-blend-tree"	"custom_cli"	"vm_auto_animation_create_blend_tree"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'animation/create-blend-tree' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_animation_create_blend_tree' without an MCP transport."
"animation/create-clip"	"custom_cli"	"vm_auto_animation_create_clip"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'animation/create-clip' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_animation_create_clip' without an MCP transport."
