"sourceRoute"	"executionKind"	"sourceOwner"	"sourceRevision"	"sourceFile"	"sourceLine"	"candidateKind"	"candidateTarget"	"candidateOwner"	"reviewState"	"finalDisposition"	"finalTarget"	"evidence"	"reviewNote"
"_meta/capabilities"	"immediate"	"com.vm233.unity-mcp"	"3441d9e63486d51e3bdccf872cc1c5bcdd1ac23c"	"Editor/MCPBuiltInRouteDescriptorRegistry.cs"	"13"	"merge_candidate"	"vm_catalog_status"	"official_and_or_vm_pipeline"	"reviewed"	"merge_into"	"vm_catalog_status"	"The official Unity CLI and five-command VM Pipeline facade own this transport/session concern after cutover; VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 intentionally publishes no '_meta/capabilities' route."	"Prove combined input, output, error, effect, lifecycle, and consumer equivalence before retiring the route."
"_meta/tools"	"immediate"	"com.vm233.unity-mcp"	"3441d9e63486d51e3bdccf872cc1c5bcdd1ac23c"	"Editor/MCPBuiltInRouteDescriptorRegistry.cs"	"14"	"merge_candidate"	"unity command discovery|vm_catalog_list|vm_catalog_get"	"official_and_or_vm_pipeline"	"reviewed"	"merge_into"	"unity command|vm_catalog_list|vm_catalog_get"	"The official Unity CLI and five-command VM Pipeline facade own this transport/session concern after cutover; VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 intentionally publishes no '_meta/tools' route."	"Prove combined input, output, error, effect, lifecycle, and consumer equivalence before retiring the route."
"addressables/build"	"immediate"	"com.vm233.unity-mcp"	"3441d9e63486d51e3bdccf872cc1c5bcdd1ac23c"	"Editor/MCPBuiltInRouteDescriptorRegistry.cs"	"15"	"custom_cli_review"	"vm_addressables_build"	"com.vm233.unity-pipeline"	"reviewed"	"custom_cli"	"vm_auto_addressables_build"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'addressables/build' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_addressables_build' without an MCP transport."	"Create a typed Pipeline command that calls the production owner directly; do not call the MCP dispatcher."
"addressables/info"	"immediate"	"com.vm233.unity-mcp"	"3441d9e63486d51e3bdccf872cc1c5bcdd1ac23c"	"Editor/MCPBuiltInRouteDescriptorRegistry.cs"	"16"	"custom_cli_review"	"vm_addressables_info"	"com.vm233.unity-pipeline"	"reviewed"	"custom_cli"	"vm_auto_addressables_info"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'addressables/info' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_addressables_info' without an MCP transport."	"Create a typed Pipeline command that calls the production owner directly; do not call the MCP dispatcher."
"addressables/transaction"	"immediate"	"com.vm233.unity-mcp"	"3441d9e63486d51e3bdccf872cc1c5bcdd1ac23c"	"Editor/MCPBuiltInRouteDescriptorRegistry.cs"	"17"	"custom_cli_review"	"vm_addressables_transaction"	"com.vm233.unity-pipeline"	"reviewed"	"custom_cli"	"vm_auto_addressables_transaction"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'addressables/transaction' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_addressables_transaction' without an MCP transport."	"Create a typed Pipeline command that calls the production owner directly; do not call the MCP dispatcher."
"agents/list"	"immediate"	"com.vm233.unity-mcp"	"3441d9e63486d51e3bdccf872cc1c5bcdd1ac23c"	"Editor/MCPBuiltInRouteDescriptorRegistry.cs"	"18"	"retire_candidate"	""	"none_after_cutover"	"reviewed"	"delete_redundant"	""	"Production consumer audit found no post-cutover caller; the official Unity CLI owns liveness, process, session, and logging concerns, and VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 intentionally publishes no 'agents/list' route."	"Unity CLI client owns process/session inventory"
"agents/log"	"immediate"	"com.vm233.unity-mcp"	"3441d9e63486d51e3bdccf872cc1c5bcdd1ac23c"	"Editor/MCPBuiltInRouteDescriptorRegistry.cs"	"19"	"retire_candidate"	""	"none_after_cutover"	"reviewed"	"delete_redundant"	""	"Production consumer audit found no post-cutover caller; the official Unity CLI owns liveness, process, session, and logging concerns, and VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 intentionally publishes no 'agents/log' route."	"Unity CLI stderr and artifact logs replace MCP agent logs"
"animation/add-event"	"immediate"	"com.vm233.unity-mcp"	"3441d9e63486d51e3bdccf872cc1c5bcdd1ac23c"	"Editor/MCPBuiltInRouteDescriptorRegistry.cs"	"20"	"custom_cli_review"	"vm_animation_add_event"	"com.vm233.unity-pipeline"	"reviewed"	"custom_cli"	"vm_auto_animation_add_event"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'animation/add-event' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_animation_add_event' without an MCP transport."	"Create a typed Pipeline command that calls the production owner directly; do not call the MCP dispatcher."
"animation/add-keyframe"	"immediate"	"com.vm233.unity-mcp"	"3441d9e63486d51e3bdccf872cc1c5bcdd1ac23c"	"Editor/MCPBuiltInRouteDescriptorRegistry.cs"	"21"	"custom_cli_review"	"vm_animation_add_keyframe"	"com.vm233.unity-pipeline"	"reviewed"	"custom_cli"	"vm_auto_animation_add_keyframe"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'animation/add-keyframe' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_animation_add_keyframe' without an MCP transport."	"Create a typed Pipeline command that calls the production owner directly; do not call the MCP dispatcher."
"animation/add-layer"	"immediate"	"com.vm233.unity-mcp"	"3441d9e63486d51e3bdccf872cc1c5bcdd1ac23c"	"Editor/MCPBuiltInRouteDescriptorRegistry.cs"	"22"	"official_candidate"	"add_animator_layer"	"com.unity.pipeline"	"reviewed"	"custom_cli"	"vm_auto_animation_add_layer"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'animation/add-layer' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_animation_add_layer' without an MCP transport."	"Name/action match only; prove input, output, error, side-effect, transaction, lifecycle, and consumer parity."
